"","CdStationHydro","CdStationHydroAncienRef","LbStationHydro","TypStationHydro","DtMiseServiceStationHydro","DtFermetureStationHydro","ProjCoordStationHydro","CoordXStationHydro","CoordYStationHydro","NomIntervenant","LbAffichageStationHydro"
"138","A231020001","A2312020","Le Giessen à Thanvillé","STD","1984-01-01 00:00:00+01",NA,"26",1022232,6810940,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"139","A232021001","A2322120","La Liepvrette à Sainte-Marie-aux-Mines [Échery]","STD","1966-01-01 00:00:00+01","1999-02-03 15:00:00+01","26",1008865,6800554,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"140","A232054001","A2325410","Le ruisseau du Chaufour à Sainte-Marie-aux-Mines [Échery]","STD","1966-01-01 00:00:00+01","1973-10-01 12:00:00+01","26",1008921,6800467,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"141","A232070001","A2327010","Le ruisseau Robinot à Sainte-Marie-aux-Mines [Brif]","STD","1967-11-01 00:00:00+01","1980-01-01 12:00:00+01","26",1008853,6801818,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"142","A234021001","A2332110","La Liepvrette à Lièpvre","STD","1965-01-01 00:00:00+01",NA,"26",1018353,6805297,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"143","A234021101","A2342110","La Liepvrette à la Vancelle [Hurst]","STD","1969-01-01 00:00:00+01","1984-01-01 12:00:00+01","26",1022202,6806445,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"144","A235020001","A2352021","Le Giessen à Sélestat - Annonce de crues","STD","2007-01-01 00:00:00+01",NA,"26",1030729.3054979,6806175.3314669,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"145","A235020002","A2352020","Le Giessen à Sélestat - Amont","STD","1965-12-20 00:00:00+01","2007-01-04 12:00:00+01","26",1030488,6806274,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"146","A235020003","A2352010","Le Giessen à Sélestat - Aval","STD","1971-01-01 00:00:00+01","1989-01-01 12:00:00+01","26",1031834,6807002,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"147","A236003001","A2230310","L'Ill à Kogenheim","STD","2006-09-08 00:00:00+02",NA,"26",1036762,6813766,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"148","A236003301",NA,"Le ruisseau le Hanfgraben à Muttersholtz","STD","2022-06-17 16:00:00+02",NA,"26",1035504.9803288,6804637.6158749,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail"
"149","A237003001","A2240310","L'Ill à Osthouse","STD","2001-10-24 00:00:00+02",NA,"26",1044076,6820953,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"150","A237047001","A2244710","Le ruisseau Hanfgraben à Sand","STD","1985-01-01 00:00:00+01","1990-01-01 12:00:00+01","26",1042530,6818077,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"151","A237047101",NA,"L'Ill à Sand","STD","2017-09-30 00:00:00+02","2018-02-15 00:00:00+01","26",1041731,6818778,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail"
"152","A238077201","A2380770","Le canal de décharge de l'Ill à Erstein","STD","1946-01-01 00:00:00+01","2000-01-01 12:00:00+01","26",1045664,6822543,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
