numero,nom,x1,a1,b1,x2,a2,b2,x3,a3,b3,x4,a4,b4
419,"C2-2-78808-LE PUY",2.8,0.105,0.014,,0.1025,0.021,,,,,,
420,"C2-1-441071-LEPUY(percheOTT20)",2.8,0.06320000000000001,0.016,10.62,0.0557,0.037,19,0.0541,0.054,,0,0
421,"C2-2-309126LEPUY(OTT20°",4,0.1044,0.014,15,0.1034,0.018,19.2,0.1026,0.03,,0,0
422,"C2-5-422044LEPUY(OTT20)",6,0.0575,0.037,10,0.0555,0.049,17.31,0.054,0.064,,0,0
423,"C31-1-170848-LEPUY[SAUMON50kg]",0.62,0.2221,0.021,,0.2494,0.004,,,,,,
424,"C31-1-170848-LEPUY[SAUMON100kg",0.59,0.2221,0.021,,0.2511,0.004,,,,,,
425,"C31-1-170850-LEPUY[SAUMON50kg]",0.62,0.2221,0.021,,0.2494,0.004,,,,,,
426,"C31-1-170850-LEPUY[SAUMON100kg",0.59,0.2221,0.021,,0.2511,0.004,,,,,,
427,"C31-1-200714-LEPUY[SAUMON50kg]",0.6899999999999999,0.2297,0.018,,0.2486,0.005,,,,,,
428,"C31-1-200714-LEPUY[SAUMON100KG",0.63,0.2297,0.018,,0.2503,0.005,,,,,,
