nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,cotedebordement,coteseuil,codehydro3,codesitehydro3,synchronisation
168,"K0120020","COUBON [HS]","LOIRE",772280,6433629,,700,"S","430450",7.29,2.1,230,450,600,"K0120020",,"11/25/98 00:00:00","00",,,,"03/14/25 12:11:00",,,,"K012002010","K0120020",
169,"K0100020","GOUDET","LOIRE",772820,6421537,,442,"S","430450",5.54,1.2,190,340,430,"K0100020",,"11/13/97 00:00:00","00",,,75915,"04/18/24 14:44:00",,,,"K010002010","K0100020",
170,"K2070810","LANGOGNE","ALLIER",767892,6404342,,324,"S","430450",8.34,0.8100000000000001,180,320,410,"K2070810",,"11/14/97 00:00:00","00",,,89521,"04/18/24 15:33:00",,,,"K207081010","K2070810",
171,"K1900010","IMPHY","La Loire",719234.29,6648554.34,,17500,"S","430450",159,24.9,924,1230,1440,"K1900010"," Mise à jour Débits caractéristiques le 16/04/2025","12/24/01 00:00:00","00",,,17248,"04/16/25 16:15:00",,,,"K190001001","K1900010",1
174,"K2173020","SAINT-BONNET-DE-MONTAUROUX","CHAPEAUROUX",756.309,6413.43,,386,"S","430450",3.24,0.28,43,73,93,"K2173020","Coordonnées en lambert 93","12/21/15 10:25:00","00",,,82000,"12/21/15 10:27:00",,,,"K217302001","K2173020",
175,"K2080820","NAUSSAC (LA VALETTE","ALLIER",765865,6406760,,396,"S","430450",,,,,,"K2080820",,"11/19/01 00:00:00","00",,,88191,"12/17/15 14:03:00",,,,"K208082001","K2080820",
176,"K2430810","PONT D'AUZON","ALLIER",727904,6476327,,2947,"S","430450",29,8.48,307,537,689,"K2430810","mis à jour le 08/04/2025","11/14/97 00:00:00","00",,,,"04/08/25 10:05:00",,,,"K243081001","K2430810",1
178,"K5490900","VIERZON","LE CHER",577570,2246480,,4550,"S","430450",28.1,3.05,204,316,390,"K5490900","MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.","01/15/03 00:00:00","00","VIERZON","18279",9655,"05/02/25 09:55:00",,,,"K549090001","K5490900",1
179,"K1180010","DIGOIN","La Loire",726420,2165390,,9315,"S","430450",86.3,11,650,971,1180,"K1180010"," Mise à jour Débits caractéristiques le 16/04/2025","03/10/00 00:00:00","00",,,,"04/16/25 15:10:00",,,,"K118001010","K1180010",1
180,"K1440010","GILLY/LOIRE","La Loire",709240,2172060,,13037,"S","430450",129,17.8,875,1230,1470,"K1440010"," Mise à jour Débits caractéristiques le 16/04/2025","03/10/00 00:00:00","00",,,,"04/16/25 16:04:00",,,,"K144001010","K1440010",1
