numero,nosta,datedeb,datefin,nature,detail,comment,datemaj,dateenregistrement,datecreation
229382,306,"06/09/11 00:00:00",,"5","50","Pose de Clou repere 
Echelle :aval pont en rive gauche H = 6.30 m
Jaugeage : aval pont rive droite
Ouverture pont =14 m",,"06/10/11 09:43:00","06/10/11 09:43:00"
229383,306,"02/03/12 17:30:00","02/23/12 16:30:00","4","42","Reconstitution des hauteurs suite au gel du mois de février 2012",,"09/07/12 14:12:00","03/09/12 14:25:00"
229384,306,"04/25/12 12:00:00",,"5","50","Mise en place d'une échelle de crue en rive droite ",,"06/14/12 15:57:00","06/14/12 15:57:00"
229385,306,"07/24/12 14:00:00",,"5","50","Réalisation du profil en travers à Pont-marie ",,"07/31/12 16:25:00","07/31/12 16:25:00"
229386,306,"09/10/13 12:58:00",,"3","31","Le LPN/8 a été remplcé par une sonde Vega",,"11/08/13 16:02:00","11/08/13 16:02:00"
229387,306,"10/15/13 00:00:00",,"3","32","Déplacement de l'échelle d'étiage en rive gauche ",,"11/08/13 16:03:00","11/08/13 16:03:00"
229388,306,"03/26/15 12:00:00",,"5","50","Nivellement vis porte à 7.265 m en prévision des travaux du pont ",,"03/27/15 10:01:00","03/27/15 10:01:00"
229389,306,"05/18/15 08:00:00","11/12/15 15:10:00","1","16","Réfection du pont station arreté provisoirement",,"11/16/15 14:13:00","06/12/15 10:41:00"
229390,306,"07/23/15 12:00:00",,"5","50","Mise en place la nouvelle échelle suite aux travaux (non calé par rapport à l'ancienne échelle)",,"10/22/15 14:19:00","10/22/15 14:19:00"
229391,306,"11/12/15 15:10:00",,"3","32","Mise en place d'une sonde vegaweel52 suite au travaux du pont. ",,"11/16/15 14:16:00","11/16/15 14:16:00"
229392,306,"07/25/16 14:00:00",,"5","50","Pose d'un clou repère de l'échelle sur le trotoire du pont (aval) en rive droite nivelé 6.21m
Réalisation de 2 profils (droit de l'échelle + 5 m amont pour svr) et du marquage du pont ",,"07/28/16 15:47:00","07/28/16 15:47:00"
