noct,nopt,a,b,h0,hsup
10054,4,0.0005765,1.5482,240,802
10055,1,0,0,0,0
10055,2,3.519e-05,1.9172,-86,300
10056,1,0,0,0,300
10056,2,0.000228,1.3966,255,406
10056,3,8.736e-08,2.6276,118,798
10057,1,0,0,0,75
10057,2,0.0006368,0.9828,75,264
10057,3,1.695e-07,2.2508,-118,800
10057,4,1.008e-05,1.7163,88,1833
10058,1,0,0,0,12
10058,2,7.332e-05,1.5372,7,34
10058,3,0.0006753,1.045,18,56
10058,4,0.0002064,1.3263,13,77
10058,5,0.0003444,1.2735,26,111
10058,6,0.001012,1.0669,38,222
10058,7,0.001253,1.045,55,458
10058,8,4.593e-05,1.502,-129,1006
10059,1,0,0,0,-1
10059,2,1.155e-05,1.7833,-75,0
10059,3,1.207e-06,2.0997,-116,145
10059,4,0.02602,0.5004999999999999,115,257
10059,5,0.0001585,1.502,101,374
10059,6,0.0006865,1.2988,161,821
10059,7,8.629e-08,2.4475,-407,2000
10060,1,0,0,0,0
10060,2,6.934e-06,1.9172,-66,1503
10061,1,0,0,0,24
10061,2,1.253e-07,2.5386,24,34
10061,3,3.063e-09,3.2922,34,217
10061,4,0.000364,1.2911,148,357
10061,5,4.715e-05,1.6909,159,592
10061,6,6.790000000000001e-08,2.5969,-54,2000
10062,1,0,0,0,100
10062,2,0.0005705,0.9395,86,158
10062,3,7.427e-06,1.9376,83,287
10062,4,3.111e-06,2.0997,82,1512
10063,1,0,0,0,0
10063,2,0.0005761,1.1064,-7,116
10063,3,2.398e-15,4.9825,-444,258
10063,4,3.351e-15,5,-384,329
10063,5,0.0001849,1.5718,155,600
10064,1,0,0,0,249
10064,2,6.501e-15,5,-250,291
10064,3,9.636000000000001e-10,3.4708,11,402
10064,4,4.507e-06,2.2073,142,651
10065,1,0,0,0,0
10065,2,6.64e-12,3.9986,-295,268
10065,3,7.973e-05,1.6844,56,802
10066,1,0,0,0,779
10066,2,4.798e-05,0.5175999999999999,778,856
10066,3,2.539e-08,2.7368,856,948
10066,4,2.266e-05,1.6778,920,1246
10066,5,0.0006106,1.2428,1071,2527
10067,1,0,0,0,851
10067,2,4.246e-17,4.9825,-356,1131
10068,1,0,0,0,49
10068,2,1.974e-07,2.6451,49,188
10068,3,0.0005919,1.2911,138,287
10068,4,0.001148,1.1857,154,1002
10069,1,0,0,0,100
10069,2,0.04461,1.1505,55,1489
10070,1,0,0,0,0
10070,2,0.0001281,1.2762,-18,93
10070,3,1.287e-07,2.4864,-87,352
10070,4,0.0002125,1.3948,99,1000
10071,1,0,0,0,3
10071,2,2.841e-06,1.9239,2,199
10071,3,2.392e-07,2.4513,25,581
10071,4,2.206e-15,5,-316,786
10071,5,0.004214,1.2208,536,1002
10072,1,0,0,0,339
10072,2,1.481e-06,2.385,339,349
10072,3,4.18e-06,2.2666,349,491
10072,4,3.174e-05,1.902,365,1172
10072,5,2.485e-13,4.1639,-711,1301
10073,1,0,0,0,100
10073,2,0.0006147,1.3263,78,194
10073,3,0.001329,1.2208,101,249
10073,4,0.005256,1.0137,143,334
10073,6,0.107,0.5004999999999999,229,523
10073,7,0.1118,0.5004999999999999,254,727
10073,8,4.632e-08,2.3287,-1342,995
10073,9,0.001129,1.1505,-18,1199
10073,5,0.05203,0.6232,204,422
10074,1,0,0,0,469
10074,2,5.486e-07,2.381,468,1301
10075,1,0,0,0,809
10075,2,1.602e-08,2.627,808,1564
10075,3,0.001395,1.0801,1296,1777
10075,4,0.0008602,1.1709,1327,1996
10076,1,0,0,0,100
10076,2,3.107e-05,1.6014,100,797
10076,3,3.845e-17,4.9825,-1215,1199
10076,4,4.097e-17,4.9825,-1184,1406
10077,1,0,0,0,149
10077,2,4.782e-07,2.4687,149,199
10077,3,0.0001622,1.3795,184,209
10077,4,2.433e-06,2.2051,158,556
10077,5,0.111,0.5154,433,803
10077,6,0.02913,0.6758999999999999,146,950
10077,7,0.1027,0.5175999999999999,409,1600
10078,1,0,0,0,169
10078,2,2.915e-06,2.182,169,209
10078,3,6.153e-06,2.0645,175,569
10078,4,0.05605,0.6232,394,684
10078,5,0.09497,0.5308,394,795
10078,6,0.02298,0.7116,156,1158
10078,7,1.977e-05,1.5372,-1260,2000
10079,1,0,0,0,189
10079,2,0.0001931,1.5372,188,402
10079,3,0.000571,1.3708,216,1000
10080,1,0,0,0,997
10080,2,3.006e-18,4.9825,-1295,1439
10081,1,0,0,0,200
10081,2,4.016e-10,3.6955,113,400
10081,3,0.0001084,1.6861,253,459
10081,4,0.0001084,1.6861,253,668
10081,5,0.0001084,1.6861,253,1000
10082,1,0,0,0,50
10082,2,0.0002996,1.2311,50,100
10082,3,0.0003205,1.2911,60,438
10082,4,0.0001649,1.3966,49,1112
10082,5,0.0001684,1.4027,96,1298
10083,1,0,0,0,155
10083,2,0.0002736,1.3263,137,957
10083,3,3.676e-10,3.0182,-726,1300
10084,1,0,0,0,100
10084,2,0.006142,1.045,99,205
10084,3,0.00642,1.0379,100,495
10084,4,0.006144,1.045,99,799
10085,1,0,0,0,9
10085,2,2.92e-07,2.5517,9,900
10086,1,0,0,0,0
10086,2,0.0035,1.256,-59,865
10086,3,0.8636,0.5175999999999999,488,1453
10086,4,5.008e-05,1.6426,-1858,3007
12675,4,1.923e-07,2.5502,139,1200
12675,5,1.621e-07,2.5502,64,1500
13007,1,0,0,0,64
13007,2,0,0,63,289
13007,3,0.0002281,1.4822,289,350
13007,4,9.639e-05,1.6239,277.6,673
13007,5,0.000714,1.3641,388.4,1500
14097,1,0,0,0,64
14097,2,4.894e-08,2.5502,64,245
14097,3,2.769e-07,2.4963,144,730
14097,4,1.923e-07,2.5502,139,1200
14097,5,1.621e-07,2.5502,64,1500
14098,1,0,0,0,64
14098,2,0,0,63,289
14098,3,0.0002281,1.4822,289,350
14098,4,9.639e-05,1.6239,277.6,673
14098,5,0.000714,1.3641,388.4,1500
14412,1,0,0,0,277
14412,2,0.01564,1,263,737
14412,3,0.02644,1,457,1198
14891,2,7.692e-05,1,-93,-80
14891,3,6.25e-05,1,-96,-61
14891,4,6.25e-05,1,-96,-48
14891,5,0.001524,0.5004999999999999,-51.9,0
