noct,ladate
10512,"01/16/08 15:15:00"
10512,"12/17/12 14:00:00"
10512,"11/22/00 11:45:00"
10512,"11/02/23 09:30:00"
10512,"01/16/23 08:30:00"
10512,"01/04/12 12:35:00"
10512,"11/03/12 12:30:00"
10593,"02/02/21 11:05:00"
-127,"10/18/24 09:22:00"
10612,"01/08/18 11:13:00"
10612,"06/05/02 14:30:00"
10612,"03/10/20 10:43:00"
10612,"06/10/92 00:00:00"
10571,"02/11/19 12:00:00"
10571,"01/21/03 11:30:00"
10571,"01/29/14 11:30:00"
10571,"01/22/21 13:20:00"
10571,"02/11/13 11:50:00"
10571,"02/13/14 11:15:00"
10572,"02/11/19 12:00:00"
10572,"01/21/03 11:30:00"
10572,"01/29/14 11:30:00"
10572,"01/22/21 13:20:00"
10572,"02/11/13 11:50:00"
10572,"02/13/14 11:15:00"
10625,"12/12/23 09:48:00"
10625,"12/13/23 09:17:00"
10625,"12/13/23 09:18:00"
10875,"05/04/15 13:20:00"
10745,"01/27/95 10:40:00"
10745,"01/26/95 13:30:00"
10745,"01/23/95 13:40:00"
10784,"02/02/21 11:05:00"
10840,"02/02/21 12:28:00"
10842,"02/10/16 10:15:00"
10843,"06/21/13 11:30:00"
10851,"01/23/95 22:00:00"
10851,"01/01/00 00:00:00"
10860,"02/02/21 12:28:00"
10861,"02/02/21 12:28:00"
10794,"11/07/95 14:10:00"
10794,"01/16/23 13:24:00"
10794,"01/18/23 08:55:00"
10794,"11/05/23 07:52:00"
10794,"11/03/23 11:55:00"
10759,"02/09/21 09:03:00"
10759,"01/21/21 09:41:00"
10759,"02/15/91 00:00:00"
10759,"02/15/90 10:00:00"
10759,"03/04/06 14:30:00"
10759,"06/01/16 12:51:00"
10760,"02/09/21 09:03:00"
10760,"01/21/21 09:41:00"
10820,"02/02/21 09:38:00"
10825,"10/18/24 09:22:00"
10795,"01/27/95 10:40:00"
10795,"01/26/95 13:30:00"
10795,"02/04/21 10:25:00"
10795,"01/23/95 13:40:00"
10795,"02/15/16 14:00:00"
10797,"02/01/21 15:40:00"
10800,"12/12/23 09:48:00"
10800,"12/13/23 09:17:00"
10800,"12/13/23 09:18:00"
10830,"12/31/20 09:40:00"
10864,"02/13/14 10:00:00"
10864,"10/09/24 08:34:00"
10864,"10/09/24 09:10:00"
10869,"02/13/14 10:00:00"
10869,"10/09/24 08:34:00"
10869,"10/09/24 09:10:00"
10870,"09/30/99 15:10:00"
10870,"01/13/04 14:25:00"
10871,"09/30/99 15:10:00"
10871,"01/13/04 14:25:00"
10873,"01/01/50 11:00:00"
10873,"01/01/50 10:00:00"
10873,"02/22/24 14:27:00"
10873,"02/22/24 09:55:00"
10873,"01/02/24 13:54:00"
10873,"01/02/24 11:27:00"
10873,"01/13/04 12:20:00"
10873,"01/15/23 08:42:00"
10873,"11/05/23 08:50:00"
10873,"11/14/23 11:06:00"
10873,"01/11/23 10:06:00"
10873,"11/14/23 12:30:00"
10873,"01/03/03 12:10:00"
10873,"11/23/00 14:20:00"
10873,"01/16/08 15:15:00"
10873,"12/17/12 14:00:00"
10873,"11/22/00 11:45:00"
10873,"11/02/23 09:30:00"
10873,"01/16/23 08:30:00"
10873,"01/04/12 12:35:00"
10873,"11/03/12 12:30:00"
10875,"02/16/22 13:00:00"
10883,"11/13/19 13:47:00"
10939,"11/13/19 13:47:00"
10958,"05/07/24 07:20:00"
10958,"12/12/23 14:10:00"
10958,"10/18/24 11:09:00"
10958,"11/25/02 14:45:00"
10958,"02/10/21 12:45:00"
10958,"02/10/21 12:35:00"
10958,"01/16/24 14:53:00"
10958,"11/26/24 15:25:00"
10958,"01/07/25 15:13:00"
10958,"11/07/23 15:29:00"
10958,"02/11/25 14:52:00"
10958,"04/02/24 14:21:00"
10958,"11/18/14 08:50:00"
10958,"01/17/23 15:14:00"
10958,"03/12/24 16:12:00"
10961,"12/11/23 10:57:00"
10961,"12/15/19 10:00:00"
10962,"12/11/23 10:57:00"
10962,"12/15/19 10:00:00"
-130,"02/11/21 12:45:00"
10968,"02/11/19 12:00:00"
10968,"01/21/03 11:30:00"
10968,"01/29/14 11:30:00"
10968,"01/22/21 13:20:00"
10968,"02/11/13 11:50:00"
10968,"02/13/14 11:15:00"
10969,"01/22/21 12:15:00"
10969,"01/03/24 10:11:00"
10969,"02/23/24 13:14:00"
0,"02/02/21 09:38:00"
-55,"12/17/19 12:13:00"
10970,"12/12/23 09:48:00"
10970,"12/13/23 09:17:00"
10970,"12/13/23 09:18:00"
10973,"03/12/24 13:18:00"
10973,"01/29/25 12:50:00"
