noct,nosta,cdatedeb,cdatefin,cmin,cmax,cnum,cnbpt,ccomment,ctype,cdatemaj,cdateenregistrement,cdatecreation,cminp,cmaxp,cnum3,ctest,ccommentpriv
1443,8,"05/19/07 17:00:00","03/27/17 00:00:00",530,5000,"2",16,"CT reprise par DREAL Alsace en 2012 (DM) Nouvelle échelle en mai 2007 Extrapolation issue de la CT de 1984 avec jaugeage à 4m.","C","06/04/24 15:02:00","01/17/25 16:24:00","10/02/15 00:00:00",,,"2",0,
1454,312,"02/23/16 12:45:00","02/15/24 00:00:00",750,1400,"d21",14,"

","C",,"02/14/25 11:24:00","04/08/19 11:34:00",,,"d21",0,
1455,312,"02/15/24 00:00:00","01/01/50 00:00:00",750,1400,"d22",12,"

","C",,"02/14/25 11:36:00","04/08/19 11:34:00",,,"d22",0,
1457,319,"01/01/21 00:00:00","01/01/49 00:00:00",2500,6000,"2",13,"Basée sur la proposition de CT issue du rapport de Torben Gerlach (WSV) d'avril 2022. Test pour Phycintegration","C","09/27/24 15:04:00","02/25/25 16:02:00","02/01/22 16:28:00",,,"2",1,
1462,320,"08/20/23 00:00:00","01/01/50 00:00:00",,,"1",2,"Relation entre la différence de hauteur (Kehl - Semaphore) et le débit.","T",,"06/04/25 10:40:00","08/23/23 11:14:00",,,,1,
1464,8,"10/12/23 00:00:00","01/10/25 00:00:00",540,5000,"6",14,,"C","06/04/25 10:59:00","06/04/25 10:59:00",,,,"6",0,
1466,2,"05/18/24 00:00:00","01/01/50 12:00:00",450,1350,"10",14,,"C","07/31/25 15:57:00","07/31/25 16:07:00","10/18/24 08:00:00",,,"10",0,
1467,2,"03/06/20 18:00:00","05/18/24 00:00:00",450,1350,"9",15,,"C","07/31/25 16:07:00","07/31/25 16:07:00","06/16/22 08:00:00",,,"9",0,
1468,8,"01/10/25 00:00:00","01/01/50 00:00:00",490,5000,"7",16,,"C","06/04/25 10:57:00","08/18/25 15:38:00","06/04/25 00:00:00",,,"7",0,"Maj basse eaux - MK - 18/08/2025
"
1261,2,"10/01/14 00:00:00","03/06/20 18:00:00",450,1350,"8",14,"Nouvelle courbe suite à la réfection du pont.","C","02/22/18 16:44:00","06/16/22 16:58:00","06/03/16 08:00:00",,,"8",0,
1292,4,"01/01/84 00:00:00","01/01/95 00:00:00",100,3800,"C17333",15,,"C",,"05/23/23 11:06:00",,,,"C17333",0,
1296,6,"01/01/08 00:00:00","01/01/11 00:00:00",1050,3800,"3",21,"Modif en spet 2015 par MD/TH pour H>200cm pour coller avec CT5
Extrapolation H > à 400 cm basée sur Diedendorf (mai 2023)
","C","09/25/15 15:02:00","05/23/23 11:36:00","11/21/12 14:00:00",,,"3",0,
1298,6,"01/01/95 00:00:00","01/01/97 00:00:00",1110,3800,"1",19,"Modif en sept 2015 par MD/TH pour H>200 pour coller avec CT5
Extrapolation H> à 400 cm basée sur Diedendorf (mai 2023)
","C","09/25/15 14:59:00","05/23/23 11:39:00","11/21/12 14:00:00",,,"1",0,
1300,6,"01/02/88 00:00:00","01/02/93 00:00:00",950,4000,"C17330",21,"Extrapolation H> à 400 cm basée sur Diedendorf (mai 2023)","C",,"05/23/23 11:43:00",,,,"C17330",0,
1301,6,"01/01/88 00:00:00","01/02/88 00:00:00",950,4000,"C17329",21,"Extrapolation H> à 400 cm basée sur Diedendorf (mai 2023)","C",,"05/23/23 11:45:00",,,,"C17329",0,
1302,6,"10/02/87 00:00:00","01/01/88 00:00:00",950,4000,"C17328",19,"Extrapolation H> à 400 cm basée sur Diedendorf (mai 2023)","C",,"05/23/23 11:47:00",,,,"C17328",0,
1303,6,"09/29/87 00:00:00","10/02/87 00:00:00",950,4000,"C17327",16,"Extrapolation H> à 400 cm basée sur Diedendorf (mai 2023)","C",,"05/23/23 11:50:00",,,,"C17327",0,
1304,6,"10/21/85 00:00:00","09/29/87 00:00:00",950,4000,"C17326",20,"Extrapolation H> à 400 cm basée sur Diedendorf (mai 2023)","C",,"05/23/23 11:53:00",,,,"C17326",0,
1305,6,"01/01/84 00:00:00","10/21/85 00:00:00",980,3910,"C17324",17,"Extrapolation H> à 400 cm basée sur Diedendorf (mai 2023)","C",,"05/23/23 11:55:00",,,,"C17324",0,
1306,6,"01/01/70 00:00:00","01/01/84 00:00:00",980,3910,"C17323",24,"Extrapolation H> à 400 cm basée sur Diedendorf (mai 2023)","C",,"05/23/23 11:57:00",,,,"C17323",0,
1310,6,"01/02/93 00:00:00","01/01/95 00:00:00",950,4000,"C17331",21,"Extrapolation H> à 400 cm basée sur Diedendorf (mai 2023)","C",,"05/23/23 11:59:00",,,,"C17331",0,
1311,6,"01/01/11 00:00:00","10/14/13 08:20:00",1050,3800,"4",21,"Repris par DREAL Alsace en 12/2012
Moduf en spet 2015 par MD/TH pour H>350cm pour coller avec CT5
Extrapolation H> à 400 cm basée sur Diedendorf (mai 2023)
Extrapolation H > 400cm basée sur Diedendorf (mai 2023)
","C","09/25/15 15:04:00","05/23/23 12:03:00","11/21/12 14:00:00",,,"4",0,
1312,6,"01/01/97 00:00:00","01/01/08 00:00:00",1000,3800,"2",22,"Moduf en spet 2015 par MD/TH pour H>200cm pour coller avec CT5
Extrapolation H> à 400 cm basée sur Diedendorf (mai 2023)","C","09/25/15 15:00:00","05/23/23 12:03:00","11/21/12 14:00:00",,,"2",0,
1314,135,"02/02/17 18:00:00","06/01/20 16:30:00",10,2400,"3",15,"Légères modifs en basses eaux
Modif en hautes eaux","C","11/08/22 16:40:00","05/23/23 12:08:00","11/15/18 00:00:00",,,"3",0,
1316,189,"01/01/08 00:00:00","05/03/22 00:00:00",2280,4300,"1",18,"MàJ à partir des jaugeages M9 et des stations amont","C","07/30/20 17:38:00","05/23/23 17:46:00","06/12/17 12:00:00",,,"1",0,
1334,316,"05/23/22 16:15:00","01/01/50 00:00:00",100,1700,"2",15,"





","C","04/20/16 10:06:00","08/25/23 13:27:00","11/24/15 09:40:00",,,"2",0,"voir octave le 23/05/2022



"
1336,320,"11/25/13 00:00:00","01/01/50 00:00:00",,,"1",2,"Relation entre la différence de hauteur (Kehl - Semaphore) et le débit.","T",,"08/25/23 15:12:00","08/23/23 11:14:00",,,,0,
1338,321,"10/01/19 00:00:00","01/01/50 00:00:00",,,"1",2,,"T","08/29/23 16:02:00","08/29/23 16:06:00",,,,,0,
1339,321,"10/01/19 00:00:00","01/01/50 00:00:00",,,"2",2,,"T","08/29/23 16:02:00","08/29/23 16:08:00",,,,,0,
1343,321,"01/01/20 00:00:00","01/01/50 00:00:00",,,"3",2,"Relation entre la différence de hauteur Wantzenau- Semaphore) et le débit.","T",,"10/11/23 11:02:00","10/11/23 10:25:00",,,,1,
1345,135,"10/16/14 12:00:00","02/02/17 18:00:00",10,2300,"2",13,"Nvlle CT après travaux aout 2014","C","11/08/23 15:30:00","11/08/23 15:31:00","10/14/14 16:00:00",,,"2",0,
1347,2,"04/01/08 11:00:00","10/01/14 00:00:00",450,900,"7",15,,"C","11/10/23 16:48:00","11/10/23 16:51:00","07/25/14 08:00:00",,,"7",0,
1357,310,"01/01/88 00:00:00","01/01/95 00:00:00",60,4500,"test",18," ","C",,"02/26/24 09:12:00",,,,,1,
1359,135,"06/01/20 16:30:00","04/01/23 20:00:00",50,2400,"4",10,,"C","11/08/22 16:40:00","03/05/24 14:01:00","11/08/22 00:00:00",,,"4",0,
1390,135,"04/01/23 20:00:00","01/01/50 00:00:00",50,2400,"5",13,,"C","06/04/24 14:25:00","06/04/24 14:25:00","01/05/24 00:00:00",,,"5",0,
1399,1,"09/24/16 00:00:00","01/01/50 00:00:00",1000,4400,"2",16,"Suite à arrachage échelle aquatique. H jaugeage issues du LPN. Extrapolation Irstea 2020. Mise en place d'un intervalle publiable.","C","06/04/24 15:19:00","06/04/24 15:20:00","06/20/17 11:30:00",800,5600,"2",0,
1411,6,"01/30/21 23:00:00","01/01/50 00:00:00",1130,4120,"6",16,"Extrapolation pour H>400 basée sur cohérence débit avec Diedendorf et Sarralbe.
Le point du 17/05/2024 à 457 cm n'est pas un jaugeage, il est issu du débit de  Sarralbe Centre - Sarralbe Eich .
La courbe a été rallongée pour permettre de calculer le débit de crue de mai 2024.
Intervalle publiable 412 cm
 





","C","06/14/24 08:47:00","06/14/24 09:34:00","03/15/23 00:00:00",1130,4120,"6",0,
1388,11,"05/26/11 00:00:00","01/01/50 00:00:00",-20,3100,"1",24,,"C","04/05/18 14:30:00","06/04/24 10:15:00","09/28/15 00:00:00",,,"1",0,
